kegg_id,Keq,stdev,bigg_id
R00684,2.03E+06,2.00E-02,TRPTA
R00685,4.38E+05,1.18E-02,LTDCL
R00686,3.70E+07,4.30E-02,
R00688,2.80E-07,1.91E-01,
R00689,6.58E+16,2.35E-02,PHEOX
R00690,1.93E+83,8.57E-03,
R00691,1.43E+14,8.59E-04,AROH
R00692,1.13E+00,1.84E-01,
R00693,2.20E+05,3.38E-02,
R00694,1.22E+00,1.91E-01,PHETA1m
R00695,2.54E-01,1.84E-01,
R00697,3.79E+00,6.42E-01,
R00698,4.74E+55,8.92E-03,
R00699,1.66E+05,1.84E-02,PHYCBOXL
R00700,1.15E+06,9.25E-02,NAD_H2
R00702,5.04E+24,1.77E-02,PSPPS
R00703,1.52E-05,6.96E-01,LDH_Lm
R00704,5.31E-05,1.91E-01,LDH_D
R00705,1.96E+04,1.51E-02,MMSAD3
R00706,1.36E+04,1.51E-02,
R00707,4.68E+09,1.63E-02,P5CD
R00708,3.13E+09,1.63E-02,
R00709,1.13E-01,7.88E-02,ICDHxm
R00710,1.71E+08,3.50E-01,ALDD2x
R00711,1.15E+08,3.50E-01,ALDD2y
R00713,5.81E+05,1.50E-01,SSALxm
R00714,3.88E+05,1.50E-01,SSALy
R00715,2.11E-07,9.64E-02,SACCD2
R00716,1.41E-07,9.64E-02,SACCD3m
R00717,1.54E-08,5.04E-01,GLYCLTDx
R00719,1.88E+05,3.10E-01,NTP10
R00720,2.73E+01,9.64E-02,NTPP9
R00722,2.25E-01,3.10E-01,NDPK9m
R00723,1.76E+12,8.25E-04,
R00724,6.24E-05,3.10E-01,PYK5
R00725,4.78E+03,2.98E-01,r0354
R00726,6.98E-02,6.70E-02,
R00727,9.57E+00,2.07E-01,
R00728,3.89E+04,3.24E-02,
R00729,5.38E+16,2.35E-02,TYROX
R00731,3.50E+74,1.18E-02,
R00732,9.11E+03,8.95E-04,
R00733,6.08E+03,8.95E-04,
R00734,1.00E+00,1.91E-01,TYRTA
R00735,3.63E+13,2.17E-03,
R00736,1.38E+12,1.92E-02,TYRCBOX
R00737,4.19E+06,3.24E-02,
R00739,2.90E+08,4.48E-02,
R00740,9.97E+00,2.87E-02,
R00742,4.45E+00,2.98E-01,ACCOAC
R00743,3.08E+01,2.54E-01,
R00744,7.11E-08,2.17E-03,OCDOR
R00746,1.05E-04,6.96E-01,ALCDH_nadp_hi
R00747,1.32E+13,3.12E-03,PALDH
R00748,9.39E+06,1.33E-01,r0186
R00749,2.29E+06,6.44E-02,ETHAAL
R00750,6.12E+01,2.44E-01,HOPNTAL
R00751,1.84E-02,1.69E-01,THRA
R00753,8.28E-05,2.25E-01,
R00754,1.58E-04,7.85E-01,ALCD2x
R00755,8.80E+01,1.99E-01,PDCh
R00756,4.25E+02,5.92E-01,PFK
R00758,1.05E-02,3.80E-01,
R00760,3.61E+02,6.16E-01,
R00761,5.52E+08,1.99E-01,
R00762,9.94E+01,5.69E-01,
R00763,3.88E+05,9.25E-02,
R00764,5.90E+00,5.69E-01,
R00765,4.12E-01,1.91E-01,G6PDA_1
R00766,2.44E-01,8.54E-02,
R00767,3.47E+02,1.50E-01,
R00768,2.51E+02,1.69E-01,
R00769,1.61E+02,3.23E-01,
R00770,1.89E+03,2.86E-01,
R00771,3.65E-01,7.24E-01,PGI
R00772,1.33E+00,3.95E-01,
R00774,1.79E-05,1.23E-02,URCB
R00775,9.08E+04,3.82E-03,
R00776,1.28E-01,2.64E-01,
R00777,9.27E+10,9.67E-03,
R00781,4.67E+60,1.63E-02,
R00782,2.97E+00,3.24E-02,CYSTBL
R00790,9.32E-79,5.80E-07,NOR_syn
R00791,3.68E-29,3.12E-03,NAR_syn
R00794,2.98E-26,3.51E-02,NITR
R00796,2.07E-26,3.51E-02,
R00800,3.45E+29,8.95E-04,
R00801,2.21E+04,3.65E-01,SUCR
R00802,2.21E+04,3.65E-01,SAGH
R00803,2.85E+01,4.46E-01,
R00805,4.60E+02,9.25E-02,SPP
R00806,1.00E+00,4.46E-01,
R00807,4.81E+01,2.76E-02,
R00809,4.59E+03,2.55E-02,
R00810,1.16E+03,1.18E-01,
R00812,2.42E+14,1.51E-03,
R00813,1.48E+16,7.93E-04,BZDIOLDH
R00814,1.61E+14,1.51E-03,
R00815,3.07E+77,5.94E-02,
R00816,1.29E+45,1.39E-02,CAT23DOX
R00817,2.82E+54,1.14E-02,CATDOX
R00818,1.81E+79,2.26E-02,
R00821,8.46E+01,7.27E-02,
R00822,8.46E+01,7.27E-02,
R00823,1.19E+83,1.57E-02,
R00825,1.78E+83,1.57E-02,
R00829,6.26E-06,1.57E-03,3OXCOAT
R00830,1.45E-03,3.66E-02,ALASm
R00832,8.09E+02,5.50E-03,AST
R00833,2.15E+01,1.91E-01,MMM2
R00834,3.25E-03,2.54E-01,
R00835,2.53E+00,3.50E-01,G6PDH2r
R00836,4.60E+02,2.25E-01,
R00837,5.00E+01,2.16E-01,TRE6PH
R00838,2.31E+03,1.44E-01,
R00839,2.31E+03,1.44E-01,
R00841,7.80E+01,1.91E-01,G3PT
R00842,2.37E-05,5.46E-01,G3PD1ir
R00844,1.58E-05,5.24E-01,G3PD2
R00845,1.72E-06,4.65E-01,
R00846,5.57E+18,3.38E-02,G3PO
R00847,5.41E+02,1.91E-01,GLYK
R00848,2.26E-02,8.54E-02,G3PDm
R00850,1.99E+00,1.91E-01,
R00853,4.26E+01,1.18E-01,
R00854,3.20E+02,1.18E-01,
R00855,2.20E+06,2.26E-02,
R00856,3.10E-01,2.26E-02,G3PCT
R00858,2.32E-23,2.26E-02,SULR_1
R00859,1.41E-31,4.74E-07,SULR_ferr
R00866,5.19E+02,3.50E-01,KHK
R00867,3.61E+02,6.16E-01,HEX7
R00868,1.51E-02,3.80E-01,MNLDH2
R00870,1.01E-02,3.80E-01,
R00871,4.14E-03,1.99E-01,
R00872,9.81E+05,1.39E-01,
R00874,5.41E+02,2.98E-01,
R00875,7.29E-03,4.65E-01,SBTD_D2
R00876,1.67E+03,2.86E-01,
R00877,3.09E+00,4.84E-01,
R00878,1.04E+00,7.85E-01,
R00881,6.06E+04,6.18E-02,GDPMNP
R00883,1.76E-01,7.56E-02,MAN1PT2
R00885,4.63E+00,9.64E-02,MAN1PT
R00889,5.04E-01,9.64E-02,
R00890,9.81E-45,5.05E-02,
R00891,3.59E+04,3.24E-02,CYS
R00892,1.04E+01,5.28E-03,
R00894,2.92E+05,2.17E-02,GLUCYS
R00895,9.14E+02,2.55E-02,CYSTAm
R00896,6.12E+01,2.35E-02,CYSTA
R00897,4.16E+08,1.51E-02,CYSS_2
R00899,6.98E-02,2.17E-02,AMPTASECGe
R00900,1.28E-02,4.14E-03,
R00903,4.62E+01,3.24E-02,
R00904,1.86E+07,8.57E-03,ALDD22x
R00905,1.14E+10,3.82E-03,UPPN
R00906,4.54E-06,5.96E-03,
R00907,1.99E-01,9.64E-02,APATr
R00908,5.44E+00,9.25E-02,APAT2rm
R00909,2.95E+02,1.18E-02,
R00910,7.40E+05,5.96E-03,
R00911,1.44E+00,5.96E-03,
R00912,1.16E+04,1.14E-03,
R00913,1.50E+11,2.17E-03,
R00914,1.02E+281,5.98E-04,
R00915,6.57E+54,8.57E-03,
R00918,2.20E+30,2.74E-12,
